Date,Open,High,Low,Close,Adj Close,Volume
22/11/2016,3.66,3.66,3.6,3.6,3.0275,56108100
23/11/2016,3.6,3.64,3.59,3.62,3.044319,41869000
24/11/2016,3.61,3.77,3.6,3.73,3.136826,58185500
25/11/2016,3.75,3.8,3.75,3.75,3.153646,27735600
28/11/2016,3.77,3.8,3.76,3.76,3.162055,14300160
29/11/2016,3.77,3.8,3.76,3.77,3.170465,10535100
30/11/2016,3.83,3.83,3.78,3.78,3.178875,37758900
1/12/2016,3.79,3.82,3.78,3.81,3.204104,20705800
2/12/2016,3.81,3.81,3.76,3.76,3.162055,20477760
5/12/2016,3.74,3.77,3.71,3.77,3.170465,22194100
6/12/2016,3.73,3.79,3.73,3.74,3.145236,24222800
7/12/2016,3.76,3.79,3.75,3.78,3.178875,14903100
8/12/2016,3.79,3.86,3.79,3.79,3.187284,37083900
9/12/2016,3.8,3.82,3.79,3.79,3.187284,12554200
12/12/2016,3.8,3.82,3.77,3.81,3.204104,17363400
13/12/2016,3.8,3.82,3.77,3.77,3.170465,21283400
14/12/2016,3.77,3.78,3.75,3.76,3.162055,25852500
15/12/2016,3.7,3.74,3.7,3.73,3.136826,20803453
16/12/2016,3.73,3.77,3.72,3.73,3.136826,25290100
19/12/2016,3.68,3.69,3.66,3.67,3.143679,17668000
20/12/2016,3.65,3.71,3.65,3.67,3.143679,22302300
21/12/2016,3.67,3.68,3.63,3.64,3.117981,22511400
22/12/2016,3.65,3.67,3.64,3.65,3.126547,19292900
23/12/2016,3.63,3.67,3.62,3.65,3.126547,8676800
27/12/2016,3.64,3.68,3.63,3.67,3.143679,9281500
28/12/2016,3.68,3.69,3.66,3.68,3.152245,12882100
29/12/2016,3.65,3.68,3.64,3.65,3.126547,13066100
30/12/2016,3.67,3.68,3.65,3.65,3.126547,15311500
3/1/2017,3.64,3.66,3.62,3.65,3.126547,13467200
4/1/2017,3.65,3.7,3.65,3.67,3.143679,21335300
5/1/2017,3.69,3.74,3.68,3.72,3.186508,23389000
6/1/2017,3.75,3.76,3.72,3.74,3.20364,13131500
9/1/2017,3.74,3.77,3.73,3.75,3.212206,10581900
10/1/2017,3.74,3.77,3.73,3.77,3.229338,17641200
11/1/2017,3.8,3.83,3.77,3.79,3.246469,25109836
12/1/2017,3.8,3.82,3.78,3.79,3.246469,16244681
13/1/2017,3.79,3.83,3.78,3.83,3.280733,17228900
16/1/2017,3.84,3.84,3.77,3.81,3.263601,9143100
17/1/2017,3.79,3.82,3.77,3.82,3.272167,8811600
18/1/2017,3.79,3.82,3.77,3.77,3.229338,17037100
19/1/2017,3.75,3.8,3.75,3.78,3.237904,13579500
20/1/2017,3.8,3.83,3.79,3.81,3.263601,22008100
23/1/2017,3.8,3.82,3.78,3.82,3.272167,16774000
24/1/2017,3.82,3.85,3.81,3.84,3.289299,31202500
25/1/2017,3.86,3.88,3.85,3.86,3.306431,29476700
26/1/2017,3.88,3.9,3.87,3.87,3.314996,26159600
27/1/2017,3.89,3.9,3.88,3.89,3.332128,11036600
31/1/2017,3.9,3.9,3.84,3.87,3.314996,26658600
1/2/2017,3.88,3.93,3.86,3.91,3.34926,21674300
2/2/2017,3.9,3.91,3.85,3.87,3.314996,19374200
3/2/2017,3.88,3.88,3.84,3.85,3.297865,16721300
6/2/2017,3.83,3.85,3.78,3.84,3.289299,20861900
7/2/2017,3.81,3.87,3.81,3.87,3.314996,18700100
8/2/2017,3.85,3.86,3.8,3.84,3.289299,16630500
9/2/2017,3.84,3.9,3.84,3.88,3.323563,36468800
10/2/2017,3.9,3.92,3.88,3.91,3.34926,39169500
13/2/2017,3.92,3.97,3.91,3.96,3.39209,27281600
14/2/2017,3.98,3.98,3.93,3.94,3.374958,22680500
15/2/2017,3.95,3.97,3.94,3.97,3.400655,21500100
16/2/2017,3.96,3.98,3.94,3.98,3.409221,17453900
17/2/2017,3.98,4.02,3.98,4,3.426353,21278000
20/2/2017,3.99,4.01,3.97,3.97,3.400655,19286400
21/2/2017,3.99,3.99,3.95,3.97,3.400655,17060400
22/2/2017,3.99,4.02,3.99,4,3.426353,18265100
23/2/2017,4,4,3.95,3.98,3.409221,19978500
24/2/2017,3.98,3.99,3.95,3.96,3.39209,12422200
27/2/2017,3.93,3.98,3.93,3.98,3.409221,13226800
28/2/2017,3.95,3.98,3.91,3.94,3.374958,33662600
1/3/2017,3.96,3.98,3.94,3.95,3.383523,16224900
2/3/2017,3.95,3.98,3.89,3.92,3.357826,24881800
3/3/2017,3.9,3.9,3.85,3.9,3.340694,13384600
6/3/2017,3.9,3.92,3.87,3.89,3.332128,9148500
7/3/2017,3.89,3.93,3.88,3.9,3.340694,10138300
8/3/2017,3.9,3.95,3.89,3.93,3.366392,11948200
9/3/2017,3.92,3.92,3.89,3.91,3.34926,11025300
10/3/2017,3.92,3.95,3.9,3.94,3.374958,13168700
13/3/2017,3.97,4,3.95,3.97,3.400655,20026100
14/3/2017,3.97,3.98,3.93,3.96,3.39209,17665400
15/3/2017,3.96,3.98,3.93,3.96,3.39209,14763800
16/3/2017,3.98,4,3.94,3.95,3.383523,19448500
17/3/2017,3.96,4.01,3.95,3.99,3.417787,40109400
20/3/2017,3.99,4.01,3.97,4,3.426353,13113600
21/3/2017,4,4,3.94,3.94,3.374958,15233300
22/3/2017,3.91,3.94,3.89,3.92,3.357826,21214200
23/3/2017,3.94,3.94,3.87,3.89,3.332128,18001600
24/3/2017,3.87,3.92,3.86,3.91,3.34926,20423200
27/3/2017,3.89,3.9,3.86,3.88,3.323563,21340100
28/3/2017,3.88,3.93,3.88,3.92,3.357826,17954000
29/3/2017,3.93,3.95,3.91,3.93,3.366392,15672200
30/3/2017,3.94,3.95,3.91,3.93,3.366392,10707600
31/3/2017,3.91,3.92,3.9,3.92,3.357826,31189700
3/4/2017,3.91,3.95,3.9,3.93,3.366392,24532500
4/4/2017,3.93,3.95,3.9,3.92,3.357826,14680700
5/4/2017,3.9,3.92,3.89,3.92,3.357826,14560900
6/4/2017,3.92,3.93,3.89,3.91,3.34926,12663300
7/4/2017,3.89,3.91,3.85,3.88,3.323563,26722300
10/4/2017,3.88,3.9,3.87,3.89,3.332128,9009700
11/4/2017,3.89,3.91,3.88,3.88,3.323563,10716500
12/4/2017,3.84,3.84,3.78,3.82,3.272167,57654000
13/4/2017,3.79,3.8,3.76,3.77,3.229338,46913700
17/4/2017,3.77,3.77,3.74,3.75,3.212206,15224600
18/4/2017,3.77,3.79,3.71,3.71,3.177943,31899800
19/4/2017,3.7,3.77,3.7,3.76,3.220772,22221400
20/4/2017,3.74,3.75,3.72,3.74,3.20364,20041100
21/4/2017,3.73,3.75,3.73,3.73,3.195074,14732500
24/4/2017,3.74,3.75,3.7,3.73,3.195074,24298480
25/4/2017,3.74,3.76,3.72,3.75,3.212206,18855600
26/4/2017,3.75,3.75,3.72,3.74,3.20364,22033400
27/4/2017,3.73,3.75,3.73,3.75,3.212206,11044200
28/4/2017,3.74,3.75,3.71,3.74,3.20364,33499400
2/5/2017,3.73,3.74,3.71,3.73,3.195074,29094400
3/5/2017,3.73,3.75,3.72,3.74,3.20364,10934200
4/5/2017,3.75,3.75,3.73,3.73,3.195074,11317600
5/5/2017,3.76,3.78,3.73,3.75,3.212206,29172600
8/5/2017,3.75,3.75,3.71,3.72,3.186508,47262600
